"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","log2err"
"GO:0034114","regulation of heterotypic cell-cell adhesion",15,-0.589536595856199,-1.60370530684909,0.0302659722251779,0.308858119350181,0.20491808811774,390,"tags=20%, list=3%, signal=19%","4680/91663/3553",0.352487857583619
"GO:0046717","acid secretion",12,-0.608608177768172,-1.60295534670237,0.0375062874874791,0.34010331061177,0.225648334321624,1513,"tags=33%, list=11%, signal=30%","9368/8647/9075/4923",0.321775918075361
"GO:0030262","apoptotic nuclear changes",19,-0.546624760439267,-1.60272014393918,0.0390363303988816,0.351267193604638,0.233055235469898,1976,"tags=42%, list=14%, signal=36%","668/22985/2021/581/162989/1676/10904/4830",0.321775918075361
"GO:0002420","natural killer cell mediated cytotoxicity directed against tumor cell target",5,-0.805750835827635,-1.60215750502868,0.0153442271168263,0.216395305843057,0.143571787733178,2297,"tags=80%, list=16%, signal=67%","5819/634/7040/5817",0.380730400722792
"GO:0002855","regulation of natural killer cell mediated immune response to tumor cell",5,-0.805750835827635,-1.60215750502868,0.0153442271168263,0.216395305843057,0.143571787733178,2297,"tags=80%, list=16%, signal=67%","5819/634/7040/5817",0.380730400722792
"GO:0036092","phosphatidylinositol-3-phosphate biosynthetic process",23,0.502125723697775,1.60132370123954,0.0369258919913201,0.337969690562301,0.22423274148493,4392,"tags=65%, list=31%, signal=45%","8503/3631/8821/9896/5291/5290/5286/200576/472/5289/8867/22863/4952/5294/8678",0.321775918075361
"GO:0033077","T cell differentiation in thymus",42,-0.468543329737562,-1.5999498459159,0.00646917799091478,0.138228690453146,0.0917105855279859,2119,"tags=33%, list=15%, signal=28%","2736/1029/5691/5692/9760/5689/8772/677/6647/6469/101/5688/3553/1209",0.407017918923954
"GO:0033044","regulation of chromosome organization",231,-0.34707882207143,-1.59915243058061,0.00040935495041507,0.0221428552026588,0.0146911195442858,2777,"tags=31%, list=20%, signal=25%","10575/51434/29882/9319/6598/51750/51433/10445/56252/197370/25906/991/5394/9212/3619/3183/1017/11284/6047/4609/6714/10574/605/8260/51112/11130/5976/4000/9587/8110/3184/7517/23381/8655/54552/29844/1663/54984/9274/7014/9275/10459/6602/51451/83903/283899/891/23397/65057/56160/7203/10460/125476/55135/8193/2067/5347/5371/1503/55743/22948/6603/142/5514/79035/54386/2237/8607/9555/10856/7515/332",0.49849310876659
"GO:0046386","deoxyribose phosphate catabolic process",27,-0.512970456972079,-1.59906531481122,0.014207372646742,0.208706304180639,0.138470366007527,450,"tags=19%, list=3%, signal=18%","7374/100/4860/79077/7378",0.380730400722792
"GO:0008306","associative learning",32,-0.48814392195644,-1.59866074825933,0.0215281711664002,0.260678275397008,0.172952208349168,1527,"tags=25%, list=11%, signal=22%","109/10636/10411/84446/10280/9775/4900/4923",0.352487857583619
"GO:1900025","negative regulation of substrate adhesion-dependent cell spreading",13,-0.610709138578495,-1.5986147339413,0.0321859361318916,0.313639404164171,0.208090327024363,928,"tags=31%, list=7%, signal=29%","4241/2192/81/55920",0.321775918075361
"GO:0062125","regulation of mitochondrial gene expression",28,-0.500398941977069,-1.59410517444512,0.0372217581882069,0.338568190578799,0.224629828274739,2643,"tags=46%, list=19%, signal=38%","285367/6472/8846/115416/84148/51204/708/84881/28958/26995/51335/84769/26164",0.321775918075361
