"pathway","ENTREZID","SYMBOL","GENENAME"
"Hallmark_Oxidative_Phosphorylation","518","ATP5MC3","ATP synthase membrane subunit c locus 3"
"Hallmark_Oxidative_Phosphorylation","10632","ATP5MG","ATP synthase membrane subunit g"
"Hallmark_Oxidative_Phosphorylation","4694","NDUFA1","NADH:ubiquinone oxidoreductase subunit A1"
"Hallmark_Oxidative_Phosphorylation","1632","ECI1","enoyl-CoA delta isomerase 1"
"Hallmark_Oxidative_Phosphorylation","29796","UQCR10","ubiquinol-cytochrome c reductase, complex III subunit X"
"Hallmark_Oxidative_Phosphorylation","788","SLC25A20","solute carrier family 25 member 20"
"Hallmark_Oxidative_Phosphorylation","506","ATP5F1B","ATP synthase F1 subunit beta"
"Hallmark_Oxidative_Phosphorylation","65003","MRPL11","mitochondrial ribosomal protein L11"
"Hallmark_Oxidative_Phosphorylation","4726","NDUFS6","NADH:ubiquinone oxidoreductase subunit S6"
"Hallmark_Oxidative_Phosphorylation","64981","MRPL34","mitochondrial ribosomal protein L34"
"Hallmark_Oxidative_Phosphorylation","9377","COX5A","cytochrome c oxidase subunit 5A"
"Hallmark_Oxidative_Phosphorylation","26521","TIMM8B","translocase of inner mitochondrial membrane 8 homolog B"
"Hallmark_Oxidative_Phosphorylation","5435","POLR2F","RNA polymerase II, I and III subunit F"
"Hallmark_Oxidative_Phosphorylation","292","SLC25A5","solute carrier family 25 member 5"
"Hallmark_Oxidative_Phosphorylation","4712","NDUFB6","NADH:ubiquinone oxidoreductase subunit B6"
"Hallmark_Oxidative_Phosphorylation","26517","TIMM13","translocase of inner mitochondrial membrane 13"
"Hallmark_Oxidative_Phosphorylation","1891","ECH1","enoyl-CoA hydratase 1"
"Hallmark_Oxidative_Phosphorylation","4717","NDUFC1","NADH:ubiquinone oxidoreductase subunit C1"
"Hallmark_Oxidative_Phosphorylation","1352","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10"
"Hallmark_Oxidative_Phosphorylation","6832","SUPV3L1","Suv3 like RNA helicase"
"Hallmark_Oxidative_Phosphorylation","522","ATP5PF","ATP synthase peripheral stalk subunit F6"
"Hallmark_Oxidative_Phosphorylation","23479","ISCU","iron-sulfur cluster assembly enzyme"
"Hallmark_Oxidative_Phosphorylation","10476","ATP5PD","ATP synthase peripheral stalk subunit d"
"Hallmark_Oxidative_Phosphorylation","89941","RHOT2","ras homolog family member T2"
"Hallmark_Oxidative_Phosphorylation","521","ATP5ME","ATP synthase membrane subunit e"
"Hallmark_Oxidative_Phosphorylation","2821","GPI","glucose-6-phosphate isomerase"
"Hallmark_Oxidative_Phosphorylation","56993","TOMM22","translocase of outer mitochondrial membrane 22"
"Hallmark_Oxidative_Phosphorylation","3028","HSD17B10","hydroxysteroid 17-beta dehydrogenase 10"
"Hallmark_Oxidative_Phosphorylation","1337","COX6A1","cytochrome c oxidase subunit 6A1"
"Hallmark_Oxidative_Phosphorylation","1327","COX4I1","cytochrome c oxidase subunit 4I1"
"Hallmark_Oxidative_Phosphorylation","5160","PDHA1","pyruvate dehydrogenase E1 subunit alpha 1"
"Hallmark_Oxidative_Phosphorylation","4696","NDUFA3","NADH:ubiquinone oxidoreductase subunit A3"
"Hallmark_Oxidative_Phosphorylation","64963","MRPS11","mitochondrial ribosomal protein S11"
"Hallmark_Oxidative_Phosphorylation","9551","ATP5MF","ATP synthase membrane subunit f"
"Hallmark_Oxidative_Phosphorylation","581","BAX","BCL2 associated X, apoptosis regulator"
"Hallmark_Oxidative_Phosphorylation","4697","COXFA4","cytochrome c oxidase associated subunit FA4"
"Hallmark_Oxidative_Phosphorylation","4700","NDUFA6","NADH:ubiquinone oxidoreductase subunit A6"
"Hallmark_Oxidative_Phosphorylation","8802","SUCLG1","succinate-CoA ligase GDP/ADP-forming subunit alpha"
"Hallmark_Oxidative_Phosphorylation","23203","PMPCA","peptidase, mitochondrial processing subunit alpha"
"Hallmark_Oxidative_Phosphorylation","2109","ETFB","electron transfer flavoprotein subunit beta"
"Hallmark_Oxidative_Phosphorylation","291","SLC25A4","solute carrier family 25 member 4"
"Hallmark_Oxidative_Phosphorylation","516","ATP5MC1","ATP synthase membrane subunit c locus 1"
"Hallmark_Oxidative_Phosphorylation","9131","AIFM1","apoptosis inducing factor mitochondria associated 1"
"Hallmark_Oxidative_Phosphorylation","10975","UQCR11","ubiquinol-cytochrome c reductase, complex III subunit XI"
"Hallmark_Oxidative_Phosphorylation","9927","MFN2","mitofusin 2"
"Hallmark_Oxidative_Phosphorylation","80273","GRPEL1","GrpE like 1, mitochondrial"
"Hallmark_Oxidative_Phosphorylation","6390","SDHB","succinate dehydrogenase complex iron sulfur subunit B"
"Hallmark_Oxidative_Phosphorylation","3420","IDH3B","isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta"
"Hallmark_Oxidative_Phosphorylation","4706","NDUFAB1","NADH:ubiquinone oxidoreductase subunit AB1"
"Hallmark_Oxidative_Phosphorylation","26519","TIMM10","translocase of inner mitochondrial membrane 10"
"Hallmark_Oxidative_Phosphorylation","1340","COX6B1","cytochrome c oxidase subunit 6B1"
"Hallmark_Oxidative_Phosphorylation","7416","VDAC1","voltage dependent anion channel 1"
"Hallmark_Oxidative_Phosphorylation","7386","UQCRFS1","ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
"Hallmark_Oxidative_Phosphorylation","514","ATP5F1E","ATP synthase F1 subunit epsilon"
